,commodity,Year,price
0,Bananas (US East Coast),2010,0.9486
1,Bananas (US East Coast),2011,1.0161538461538462
2,Bananas (US East Coast),2012,1.028974358974359
3,Bananas (US East Coast),2013,0.967659574468085
4,Bananas (US East Coast),2014,0.9616
5,Bananas (US East Coast),2015,0.8914583333333334
6,Bananas (US East Coast),2016,0.8670588235294118
7,Bananas (US East Coast),2017,0.8623076923076922
8,Bananas (US East Coast),2018,0.9963461538461539
9,Bananas (US East Coast),2019,0.8733333333333333
10,Bananas (US East Coast),2020,0.84
11,Bananas (US West Coast),2010,0.9128000000000001
12,Bananas (US West Coast),2011,0.9843999999999999
13,Bananas (US West Coast),2012,0.9658974358974359
14,Bananas (US West Coast),2013,0.9382222222222222
15,Bananas (US West Coast),2014,1.0170000000000001
16,Bananas (US West Coast),2015,1.0810416666666667
17,Bananas (US West Coast),2016,1.0380392156862746
18,Bananas (US West Coast),2017,1.010576923076923
19,Bananas (US West Coast),2018,0.9878846153846154
20,Bananas (US West Coast),2019,1.0654901960784315
21,Bananas (US West Coast),2020,0.98
22,Barley (feed),2010,0.1875757575757576
23,Barley (feed),2011,0.2648387096774194
24,Barley (feed),2012,0.285
25,Barley (feed),2013,0.26235294117647057
26,Barley (feed),2014,0.23166666666666666
27,Barley (feed),2015,0.20111111111111113
28,Barley (feed),2016,0.16083333333333333
29,Barley (feed),2017,0.17833333333333334
30,Barley (feed),2018,0.2338888888888889
31,Barley (feed),2019,0.2075
32,Barley (feed),2020,0.1927777777777778
33,Beef,2010,3.2725000000000004
34,Beef,2011,3.9458333333333333
35,Beef,2012,4.176666666666667
36,Beef,2013,4.008333333333334
37,Beef,2014,5.016666666666667
38,Beef,2015,4.699166666666667
39,Beef,2016,4.170833333333333
40,Beef,2017,4.463333333333334
41,Beef,2018,4.1975
42,Beef,2019,4.8725
43,Beef,2020,4.728333333333333
44,Butter,2010,4.269166666666666
45,Butter,2011,5.023333333333333
46,Butter,2012,3.74
47,Butter,2013,4.785
48,Butter,2014,4.2775
49,Butter,2015,3.305
50,Butter,2016,3.473333333333333
51,Butter,2017,5.640833333333333
52,Butter,2018,5.586666666666666
53,Butter,2019,4.443333333333333
54,Butter,2020,3.7616666666666667
55,Cassava Chips,2010,0.20916666666666664
56,Cassava Chips,2011,0.2658333333333333
57,Cassava Chips,2012,0.23333333333333336
58,Cassava Chips,2013,0.2383333333333333
59,Cassava Chips,2014,0.2275
60,Cassava Chips,2015,0.2125
61,Cassava Chips,2016,0.17666666666666667
62,Cassava Chips,2017,0.1708333333333333
63,Cassava Chips,2018,0.22999999999999998
64,Cassava Chips,2019,0.215
66,Cassava Flour/Starch,2010,0.5091666666666667
67,Cassava Flour/Starch,2011,0.49
68,Cassava Flour/Starch,2012,0.43916666666666665
69,Cassava Flour/Starch,2013,0.4691666666666667
70,Cassava Flour/Starch,2014,0.4291666666666667
71,Cassava Flour/Starch,2015,0.42250000000000004
72,Cassava Flour/Starch,2016,0.3516666666666666
73,Cassava Flour/Starch,2017,0.3425
74,Cassava Flour/Starch,2018,0.49666666666666665
75,Cassava Flour/Starch,2019,0.455
77,Cheddar Cheese,2010,3.7383333333333333
78,Cheddar Cheese,2011,4.38
79,Cheddar Cheese,2012,3.875
80,Cheddar Cheese,2013,4.5633333333333335
81,Cheddar Cheese,2014,4.54
82,Cheddar Cheese,2015,3.0749999999999997
83,Cheddar Cheese,2016,2.8058333333333336
84,Cheddar Cheese,2017,3.6641666666666666
85,Cheddar Cheese,2018,3.735
86,Cheddar Cheese,2019,3.435
87,Cheddar Cheese,2020,3.41
88,Coconut oil,2010,1.1233333333333333
89,Coconut oil,2011,1.7316666666666667
90,Coconut oil,2012,1.1125
91,Coconut oil,2013,0.9408333333333333
92,Coconut oil,2014,1.2808333333333333
93,Coconut oil,2015,1.1091666666666666
94,Coconut oil,2016,1.4766666666666666
95,Coconut oil,2017,1.6050000000000002
96,Coconut oil,2018,1.0033333333333332
97,Coconut oil,2019,0.7374999999999999
98,Coconut oil,2020,0.885
99,Groundnuts,2010,1.2808333333333333
100,Groundnuts,2011,2.0866666666666664
101,Groundnuts,2012,2.1750000000000003
102,Groundnuts,2013,1.3775000000000002
103,Groundnuts,2014,1.2966666666666666
104,Groundnuts,2015,1.2483333333333333
105,Groundnuts,2016,1.3625
106,Groundnuts,2017,1.4716666666666667
107,Groundnuts,2018,1.3258333333333334
108,Groundnuts,2019,1.3333333333333333
109,Groundnuts,2020,1.51
110,Jute,2010,0.8633333333333333
111,Jute,2011,0.6383333333333333
112,Jute,2012,0.5158333333333334
113,Jute,2013,0.6016666666666667
114,Jute,2014,0.6358333333333334
115,Jute,2015,0.7324999999999999
116,Jute,2016,0.7841666666666667
117,Jute,2017,0.67
118,Jute,2018,0.7975
119,Jute,2019,0.8089999999999999
121,Lamb,2010,3.6741666666666664
122,Lamb,2011,5.531666666666666
123,Lamb,2012,4.655833333333334
124,Lamb,2013,4.131666666666667
125,Lamb,2014,4.701666666666667
126,Lamb,2015,3.643333333333333
127,Lamb,2016,3.578333333333333
128,Lamb,2017,4.489166666666667
129,Lamb,2018,5.245
130,Lamb,2019,5.1275
131,Lamb,2020,4.365
132,Maize,2010,0.1906923076923077
133,Maize,2011,0.289765625
134,Maize,2012,0.287421875
135,Maize,2013,0.25208
136,Maize,2014,0.196015625
137,Maize,2015,0.17015625
138,Maize,2016,0.1673076923076923
139,Maize,2017,0.158359375
140,Maize,2018,0.168359375
141,Maize,2019,0.167421875
142,Maize,2020,0.16296875
143,Maize (feed),2010,0.19666666666666666
144,Maize (feed),2011,0.28714285714285714
145,Maize (feed),2012,0.27625
146,Maize (feed),2013,0.24363636363636365
147,Maize (feed),2014,0.20285714285714285
148,Maize (feed),2015,0.17238095238095238
149,Maize (feed),2016,0.18190476190476193
150,Maize (feed),2017,0.165
151,Maize (feed),2018,0.18
152,Maize (feed),2019,0.1729166666666667
153,Maize (feed),2020,0.1725
154,Rice,2010,0.5593197278911565
155,Rice,2011,0.6202631578947368
156,Rice,2012,0.606832298136646
157,Rice,2013,0.6248101265822785
158,Rice,2014,0.5938749999999999
159,Rice,2015,0.49930817610062894
160,Rice,2016,0.46113207547169816
161,Rice,2017,0.5013664596273292
162,Rice,2018,0.5447530864197531
163,Rice,2019,0.5207547169811321
164,Rice,2020,0.587
165,Sisal,2010,0.8747916666666667
166,Sisal,2011,1.0860416666666668
167,Sisal,2012,1.218125
168,Sisal,2013,1.254375
169,Sisal,2014,1.5220833333333335
170,Sisal,2015,1.8258333333333334
171,Sisal,2016,1.74875
172,Sisal,2017,1.6845833333333333
173,Sisal,2018,1.6222916666666667
174,Sisal,2019,1.5534090909090907
176,Skim Milk Powder,2010,2.9716666666666662
177,Skim Milk Powder,2011,3.4091666666666662
178,Skim Milk Powder,2012,3.0625
179,Skim Milk Powder,2013,4.1475
180,Skim Milk Powder,2014,3.606666666666667
181,Skim Milk Powder,2015,2.09
182,Skim Milk Powder,2016,1.9858333333333336
183,Skim Milk Powder,2017,2.0100000000000002
184,Skim Milk Powder,2018,1.8341666666666667
185,Skim Milk Powder,2019,2.4408333333333334
186,Skim Milk Powder,2020,2.5833333333333335
187,Sorghum,2010,0.1920754716981132
188,Sorghum,2011,0.2786
189,Sorghum,2012,0.2696153846153846
190,Sorghum,2013,0.245
191,Sorghum,2014,0.2078846153846154
192,Sorghum,2015,0.20529411764705885
193,Sorghum,2016,0.15339622641509434
194,Sorghum,2017,0.16346153846153846
195,Sorghum,2018,0.1678
196,Sorghum,2019,0.16173076923076923
197,Sorghum,2020,0.16962962962962963
198,Soybean,2010,0.4291666666666667
199,Soybean,2011,0.5245833333333333
200,Soybean,2012,0.5783333333333334
201,Soybean,2013,0.545
202,Soybean,2014,0.49374999999999997
203,Soybean,2015,0.3841666666666667
204,Soybean,2016,0.3941666666666667
205,Soybean,2017,0.38666666666666666
206,Soybean,2018,0.3775
207,Soybean,2019,0.3575
208,Soybean,2020,0.35083333333333333
209,Tea,2010,2.549166666666667
210,Tea,2011,2.7158333333333338
211,Tea,2012,2.8891666666666667
212,Tea,2013,2.401666666666667
213,Tea,2014,2.0433333333333334
214,Tea,2015,2.7433333333333336
215,Tea,2016,2.3000000000000003
216,Tea,2017,2.8008333333333333
217,Tea,2018,2.415
218,Tea,2019,2.0816666666666666
219,Tea,2020,2.0140000000000002
220,Wheat,2010,0.24446153846153848
221,Wheat,2011,0.31455497382198955
222,Wheat,2012,0.3079891304347826
223,Wheat,2013,0.3107446808510638
224,Wheat,2014,0.28267379679144383
225,Wheat,2015,0.22406250000000003
226,Wheat,2016,0.1915897435897436
227,Wheat,2017,0.19572916666666665
228,Wheat,2018,0.22875
229,Wheat,2019,0.22197916666666664
230,Wheat,2020,0.23212121212121212
231,Wheat (feed),2010,0.19761904761904764
232,Wheat (feed),2011,0.2710526315789474
233,Wheat (feed),2012,0.2917391304347826
234,Wheat (feed),2013,0.27
235,Wheat (feed),2014,0.2354166666666667
236,Wheat (feed),2015,0.19083333333333333
237,Wheat (feed),2016,0.1679166666666667
238,Wheat (feed),2017,0.18333333333333335
239,Wheat (feed),2018,0.20421052631578948
240,Wheat (feed),2019,0.19857142857142857
241,Wheat (feed),2020,0.21333333333333335
242,Wheat (milling),2010,0.19833333333333333
243,Wheat (milling),2011,0.27305555555555555
244,Wheat (milling),2012,0.28791666666666665
245,Wheat (milling),2013,0.2902222222222222
246,Wheat (milling),2014,0.26489583333333333
247,Wheat (milling),2015,0.215
248,Wheat (milling),2016,0.17937499999999998
249,Wheat (milling),2017,0.1865625
250,Wheat (milling),2018,0.20479166666666668
251,Wheat (milling),2019,0.21208333333333332
252,Wheat (milling),2020,0.2275
